"","GO","wR2Nmean","CRI2mean","eAImean","sumScoremean"
"1","GO:0000003",0.37234709459553,0.664976554281633,0.269182480322655,0.435502043066606
"2","GO:0000045",0.381784257145524,0.673744352285661,0.275710181074524,0.443746263501903
"3","GO:0000070",0.363841933731886,0.656260827359711,0.259450701953413,0.426517821015003
"4","GO:0000079",0.428580776272051,0.696934426381121,0.283522260812248,0.469679154488474
"5","GO:0000122",0.345254004363071,0.648763812766941,0.271853247430676,0.421957021520229
"6","GO:0000132",0.351928632291691,0.656837898385627,0.270045602723106,0.426270711133475
"7","GO:0000165",0.315238799919213,0.639574190904828,0.246800240288812,0.400537743704284
"8","GO:0000187",0.33640497018782,0.65807384405515,0.261709720874014,0.418729511705661
"9","GO:0000209",0.396460648566321,0.674919007853536,0.227787820808333,0.43305582574273
"10","GO:0000226",0.385322309015603,0.662858176335021,0.289871313328762,0.446017266226462
"11","GO:0000278",0.429292609954779,0.679100607463717,0.290777048529627,0.466390088649374
"12","GO:0000281",0.425331336422239,0.684821578158784,0.319020066017324,0.476390993532782
"13","GO:0000381",0.369369704724997,0.643313977399511,0.301332677345379,0.438005453156629
"14","GO:0000398",0.361323704939968,0.657261482154639,0.304836106576241,0.441140431223616
"15","GO:0000413",0.410257848287428,0.693040550962596,0.366533446949453,0.489943948733159
"16","GO:0000422",0.401800970639048,0.687614543052699,0.279884112227266,0.456433208639671
"17","GO:0000723",0.326896979947463,0.650271011615637,0.234951934705686,0.404039975422929
"18","GO:0000724",0.327266834841936,0.644505406405767,0.231076383746329,0.400949541664678
"19","GO:0001708",0.321692904808045,0.646002472306302,0.255415882066451,0.407703753060266
"20","GO:0001714",0.365178221291284,0.667223898017918,0.258571458948271,0.430324526085824
"21","GO:0001764",0.335252239421565,0.650701737352466,0.251572935295527,0.412508970689853
"22","GO:0002009",0.398324346280185,0.669760072581127,0.268696849916884,0.445593756259398
"23","GO:0002119",0.37105641814053,0.659262385228283,0.283646587841857,0.43798846373689
"24","GO:0002376",0.394046826358027,0.678759778300473,0.286375216672003,0.453060607110168
"25","GO:0003333",0.371881477623214,0.657286764470857,0.288070703490769,0.43907964852828
"26","GO:0005975",0.360786319956106,0.669599497382044,0.259044206654448,0.429810007997533
"27","GO:0005977",0.451260405158593,0.697625977024538,0.308464458875552,0.485783613686228
"28","GO:0006082",0.39158989799669,0.671741010368181,0.254570994209179,0.43930063419135
"29","GO:0006096",0.490865441598978,0.701516459800247,0.393789284767771,0.528723728722332
"30","GO:0006099",0.565354083849693,0.729276939214408,0.454239102835581,0.582956708633228
"31","GO:0006120",0.461988243159174,0.700978126697791,0.311994893748002,0.491653754534989
"32","GO:0006182",0.307842897215213,0.646095706888976,0.225027304628669,0.392988636244286
"33","GO:0006259",0.335540284246885,0.654446279931999,0.213624630005719,0.401203731394868
"34","GO:0006260",0.406154246323437,0.677613681771579,0.264341000579998,0.449369642891671
"35","GO:0006281",0.366195284878804,0.65808619506892,0.249562982594997,0.424614820847574
"36","GO:0006289",0.368205261217522,0.660614997569285,0.259218039711374,0.429346099499393
"37","GO:0006310",0.348867642862995,0.654314131647453,0.246324400463332,0.416502058324593
"38","GO:0006325",0.409285607444592,0.667733978882894,0.265129229209823,0.447382938512437
"39","GO:0006338",0.364421160874343,0.651031044626156,0.260875392016001,0.4254425325055
"40","GO:0006351",0.361359247988378,0.663683984277928,0.260923146229819,0.428655459498708
"41","GO:0006355",0.324696609996083,0.651767264883111,0.248650213495987,0.408371362791727
"42","GO:0006357",0.320144946566867,0.645723716858865,0.248964768957209,0.40494447746098
"43","GO:0006364",0.392765574935843,0.660083464258803,0.267691125239552,0.440180054811399
"44","GO:0006366",0.404462775681902,0.670676555192315,0.266635911595706,0.447258414156641
"45","GO:0006396",0.359386996299076,0.661714045836312,0.270320263858261,0.43047376866455
"46","GO:0006397",0.373230685020451,0.661848399307682,0.28545977797685,0.440179620768328
"47","GO:0006412",0.495749058501651,0.728393252246606,0.434608539873838,0.552916950207365
"48","GO:0006413",0.462871205810854,0.69485817819354,0.33218125016528,0.496636878056558
"49","GO:0006417",0.425901898183574,0.68664323723046,0.313213066377118,0.475252733930384
"50","GO:0006418",0.43226927289514,0.673258691839355,0.284802480958806,0.463443481897767
"51","GO:0006457",0.444334284749551,0.687971721130632,0.333861225671562,0.488722410517248
"52","GO:0006468",0.354276727694444,0.657593841686707,0.242374799315819,0.418081789565657
"53","GO:0006470",0.381230559957178,0.67154611043512,0.26528094626451,0.439352538885603
"54","GO:0006486",0.365442465364146,0.676615780596963,0.242737220712427,0.428265155557845
"55","GO:0006506",0.385238114023264,0.687941552949582,0.25385044697328,0.442343371315375
"56","GO:0006508",0.377828998009382,0.676982073738417,0.276604331259461,0.443805134335753
"57","GO:0006511",0.412014067041543,0.684078704825772,0.268773163063392,0.454955311643569
"58","GO:0006520",0.420283687175243,0.682318496575676,0.308231781549283,0.4702779884334
"59","GO:0006606",0.438723720090304,0.691652951228932,0.288223190734399,0.472866620684545
"60","GO:0006612",0.326635078462503,0.664746656048644,0.233107535918249,0.408163090143132
"61","GO:0006629",0.397379135771287,0.687865292148746,0.282532476452917,0.455925634790984
"62","GO:0006631",0.451365729780063,0.696362133096121,0.328365093663225,0.492030985513136
"63","GO:0006633",0.466216765987401,0.708429593804804,0.354853003316426,0.50983312103621
"64","GO:0006635",0.430985058387072,0.673085140634975,0.32417915591248,0.476083118311509
"65","GO:0006644",0.433490361811645,0.709526781705874,0.286681475583915,0.476566206367145
"66","GO:0006665",0.354624178141298,0.678165928829973,0.271853703955042,0.434881270308771
"67","GO:0006749",0.45323221524005,0.698127186113483,0.309792068976456,0.487050490109996
"68","GO:0006805",0.386366290137038,0.669028400537134,0.253707908522946,0.436367533065706
"69","GO:0006811",0.352070881070019,0.666485567123222,0.256704938333157,0.425087128842133
"70","GO:0006812",0.380720326046196,0.677769935240368,0.271216000506859,0.443235420597808
"71","GO:0006813",0.363619758438984,0.666578992235233,0.260696521931978,0.430298424202065
"72","GO:0006814",0.32076650610893,0.662357851681518,0.259221305127643,0.414115220972697
"73","GO:0006816",0.357502307822421,0.660685335921578,0.243946949934535,0.420711531226178
"74","GO:0006820",0.370420711847896,0.666145579773972,0.296941335286365,0.444502542302744
"75","GO:0006821",0.353287989659517,0.662623087579857,0.254883151669521,0.423598076302965
"76","GO:0006836",0.400175560312936,0.672516307216196,0.280378839011517,0.451023568846883
"77","GO:0006869",0.444873985312857,0.694571393566301,0.322053035942672,0.487166138273943
"78","GO:0006874",0.383389477468524,0.666254614773725,0.220045135239438,0.423229742493896
"79","GO:0006886",0.402604497983515,0.676324804216572,0.279417508514754,0.45278227023828
"80","GO:0006887",0.313316222979788,0.640345612677915,0.229243242035372,0.394301692564358
"81","GO:0006888",0.407757052338429,0.682463544281505,0.297779078025341,0.462666558215092
"82","GO:0006891",0.436084328547291,0.688931385638229,0.287138558181139,0.470718090788886
"83","GO:0006897",0.367099498875852,0.651225061380141,0.267280855899499,0.428535138718497
"84","GO:0006898",0.379362272348142,0.655270072936486,0.301528845711156,0.445387063665261
"85","GO:0006914",0.367476557749518,0.66722459757598,0.260755279710816,0.431818811678771
"86","GO:0006915",0.389460395732354,0.672680566401131,0.266138573637784,0.44275984525709
"87","GO:0006935",0.350745745452142,0.660883900041906,0.24906904108052,0.420232895524856
"88","GO:0006936",0.537267501198247,0.710233263658649,0.332191123035303,0.526563962630733
"89","GO:0006937",0.427346632648828,0.687289155993816,0.31766052759124,0.477432105411295
"90","GO:0006972",0.362000560660596,0.652567868333362,0.275396657489018,0.429988362160992
"91","GO:0006974",0.353624636323789,0.658413231788182,0.252376438907823,0.421471435673264
"92","GO:0006979",0.372710346722007,0.664646238969014,0.287910734732977,0.441755773474666
"93","GO:0006986",0.37744754545231,0.653631129105017,0.322628655799845,0.451235776785724
"94","GO:0006997",0.382369566678079,0.66469266340803,0.27080063894756,0.439287623011223
"95","GO:0007005",0.436832262093954,0.685651211690842,0.338692277828774,0.48705858387119
"96","GO:0007015",0.481335233076116,0.687820068921815,0.300552865498268,0.489902722498733
"97","GO:0007017",0.449085184852936,0.698004903407142,0.332141858936034,0.493077315732037
"98","GO:0007018",0.367200438539798,0.646350287881857,0.249785002813465,0.42111190974504
"99","GO:0007029",0.350233406472915,0.658608867305459,0.273118937808518,0.427320403862297
"100","GO:0007030",0.348625996887173,0.659712399253357,0.266022109951176,0.424786835363902
"101","GO:0007040",0.3992150287288,0.678220226072121,0.24978647752837,0.442407244109764
"102","GO:0007049",0.387135682101379,0.667923022155317,0.270865224602717,0.441974642953138
"103","GO:0007059",0.38511041951537,0.648740087386084,0.255747933292092,0.429866146731182
"104","GO:0007155",0.366190979949012,0.656356430190396,0.258257713449412,0.426935041196273
"105","GO:0007156",0.367536186252632,0.656724512350535,0.240292606023925,0.421517768209031
"106","GO:0007163",0.300245578118466,0.627475357528016,0.242653815777299,0.39012491714126
"107","GO:0007165",0.35913840490268,0.667139015377764,0.254793498694506,0.427023639658317
"108","GO:0007168",0.30161649214683,0.640455177782153,0.223809187963435,0.388626952630806
"109","GO:0007169",0.33603459882813,0.65545923340872,0.237752107552621,0.40974864659649
"110","GO:0007179",0.308607489391837,0.657599389362321,0.250593424980774,0.405600101244978
"111","GO:0007186",0.358978766342551,0.677800062840643,0.252359231424061,0.429712686869085
"112","GO:0007187",0.34816261216454,0.659647849041046,0.256787648842658,0.421532703349415
"113","GO:0007188",0.357260313820278,0.667786986521977,0.226889599032873,0.417312299791709
"114","GO:0007212",0.371275103090312,0.676955691970138,0.247120155777805,0.431783650279418
"115","GO:0007218",0.385304837941839,0.689452590286464,0.332404316482352,0.469053914903552
"116","GO:0007219",0.336261784665334,0.656958684800471,0.282935346998919,0.425385272154908
"117","GO:0007264",0.316469481465541,0.637372589578906,0.24623502352163,0.400025698188692
"118","GO:0007265",0.311649917376571,0.643292930544979,0.240020137388407,0.398320995103319
"119","GO:0007266",0.36628012671897,0.655846962909536,0.259406291777545,0.427177793802017
"120","GO:0007267",0.359108351385823,0.665715932812129,0.270154426651776,0.431659570283243
"121","GO:0007268",0.337033292031021,0.660717199814802,0.250653067686556,0.416134519844126
"122","GO:0007271",0.378691915641185,0.66039905680593,0.247979912430669,0.429023628292595
"123","GO:0007275",0.350989848587021,0.656718624436593,0.26226530033559,0.423324591119735
"124","GO:0007276",0.434695536904836,0.692016398863792,0.348258129056632,0.491656688275086
"125","GO:0007281",0.375650784526875,0.667809045613319,0.271556658705832,0.438338829615342
"126","GO:0007283",0.392861155457837,0.673646473847683,0.283478752180425,0.449995460495315
"127","GO:0007346",0.335537785870117,0.651096163036487,0.25781203994813,0.414815329618245
"128","GO:0007369",0.36103909556659,0.662756624322785,0.253155040734279,0.425650253541218
"129","GO:0007399",0.355604090934623,0.659716429867911,0.262267157880301,0.425862559560945
"130","GO:0007411",0.387706179955383,0.653290524044505,0.291747626606823,0.444248110202237
"131","GO:0007413",0.394932160046259,0.658289100722627,0.293250010322383,0.448823757030423
"132","GO:0007416",0.303600689442264,0.640471049738801,0.246687846181712,0.396919861787592
"133","GO:0007419",0.29800342333724,0.640519419459156,0.237871513787338,0.392131452194578
"134","GO:0007506",0.350557264912158,0.648222818712413,0.262283911888784,0.420354665171118
