"","GO","wR2Nmean","CRI2mean","eAImean","sumScoremean"
"1","GO:0000002",0.366207075722003,0.673451474466248,0.266823207130404,0.435493919106218
"2","GO:0000027",0.431149996662566,0.710057480830381,0.397268090709511,0.51282518940082
"3","GO:0000055",0.362787980866956,0.675187666266084,0.295346493639497,0.444440713590846
"4","GO:0000070",0.280779614808157,0.645077212420326,0.216071525572413,0.380642784266965
"5","GO:0000079",0.311792930127843,0.662926764498053,0.219534762729694,0.39808481911853
"6","GO:0000122",0.336710962257706,0.662914265012238,0.235552321882479,0.411725849717474
"7","GO:0000209",0.330602067313218,0.669518929336665,0.221698746267103,0.407273247638995
"8","GO:0000278",0.284192379505343,0.646778443886765,0.215633563674815,0.382201462355641
"9","GO:0000398",0.322315133027499,0.654680302956066,0.218831906461821,0.398609114148462
"10","GO:0000422",0.33714564962482,0.671002646155674,0.22468139262394,0.410943229468145
"11","GO:0000447",0.375008283582387,0.670939846765273,0.29232454705577,0.44609089246781
"12","GO:0000462",0.403737838528102,0.706188918180137,0.383787425605212,0.497904727437817
"13","GO:0000463",0.384437003484189,0.666306678256793,0.314739308180191,0.455160996640391
"14","GO:0000472",0.337211530781414,0.645377141343991,0.229937291598868,0.404175321241424
"15","GO:0000480",0.341329798818279,0.648744525544923,0.233406435392845,0.407826919918682
"16","GO:0000722",0.340127583431562,0.667183284756114,0.221815093029544,0.409708653739073
"17","GO:0000723",0.300686775080386,0.654970228792993,0.23299724565706,0.396218083176813
"18","GO:0001302",0.365310448301409,0.680072952843526,0.262946909055631,0.436110103400189
"19","GO:0001403",0.327323878672463,0.672518242941954,0.235989978251981,0.411944033288799
"20","GO:0002181",0.560394661384034,0.818523221522612,0.647178657295153,0.675365513400599
"21","GO:0005975",0.426316240929736,0.705744541318639,0.284362254785988,0.472141012344788
"22","GO:0006099",0.455007269317962,0.691209652309556,0.304760485264215,0.483659135630578
"23","GO:0006260",0.312609005116114,0.652725045664977,0.231006527331635,0.398780192704242
"24","GO:0006270",0.281408058602523,0.644102142163407,0.236093622345603,0.387201274370511
"25","GO:0006278",0.241503808675379,0.634779435154439,0.205735584134517,0.360672942654778
"26","GO:0006281",0.293085134573097,0.651610482432974,0.225087869367644,0.389927828791238
"27","GO:0006289",0.302558620515549,0.650609854293621,0.228464631704242,0.393877702171138
"28","GO:0006302",0.263819441504909,0.643175478569032,0.203944115929082,0.370313012001008
"29","GO:0006310",0.260742033472591,0.640418585697813,0.209984431698235,0.370381683622879
"30","GO:0006325",0.307463781038549,0.653592318663729,0.2225977979367,0.394551299212993
"31","GO:0006338",0.319402010246254,0.652631767848728,0.230350918916669,0.400794899003884
"32","GO:0006348",0.307078322600684,0.6552757028176,0.219964088339837,0.394106037919374
"33","GO:0006351",0.330445017044357,0.67115026977679,0.233429787658548,0.411675024826565
"34","GO:0006355",0.301672041063266,0.658309345015236,0.214624133719235,0.391535173265912
"35","GO:0006357",0.328294931919502,0.660778340895585,0.228011152655698,0.405694808490262
"36","GO:0006364",0.364654904527686,0.664870183897582,0.285445893144032,0.4383236605231
"37","GO:0006366",0.311183965131061,0.651417226777837,0.235412297550315,0.399337829819738
"38","GO:0006368",0.302032582782895,0.647855425534447,0.22466530392148,0.391517770746274
"39","GO:0006396",0.282359646075558,0.642703199889529,0.224178549770324,0.383080465245137
"40","GO:0006397",0.30915737722027,0.648381483012683,0.214023882890609,0.390520914374521
"41","GO:0006406",0.29966779010279,0.64015535441559,0.226603984462159,0.388809042993513
"42","GO:0006412",0.472259950982966,0.743479918372604,0.470371698584275,0.562037189313282
"43","GO:0006413",0.406649710381239,0.679700119434554,0.318030514613575,0.468126781476456
"44","GO:0006417",0.340539745849051,0.664491441363235,0.246811171813817,0.417280786342034
"45","GO:0006418",0.390573132840538,0.672761756469426,0.292148086613812,0.451827658641259
"46","GO:0006457",0.424070528543772,0.684458800209177,0.299188153114062,0.469239160622337
"47","GO:0006468",0.295623129896957,0.657169621356111,0.217897482064409,0.390230077772492
"48","GO:0006470",0.333125558903971,0.673329549674704,0.215475003509835,0.407310037362836
