"","GO","wR2Nmean","CRI2mean","eAImean","sumScoremean"
"1","GO:0000049",0.726232734523462,0.788456342005708,0.366470177741382,0.627053084756851
"2","GO:0000146",0.748213308202258,0.801496270028693,0.375561546043796,0.641757041424916
"3","GO:0000149",0.633645017343391,0.743142644145847,0.322837363710424,0.566541675066554
"4","GO:0000166",0.665426795899462,0.781644893030565,0.376425696081816,0.607832461670614
"5","GO:0000175",0.670886166613549,0.773031520784312,0.343836739936701,0.595918142444854
"6","GO:0000287",0.725581495507515,0.807745492780513,0.415924316596015,0.649750434961347
"7","GO:0000900",0.66082056919258,0.79079009719013,0.351825804935438,0.601145490439383
"8","GO:0000976",0.679963204115266,0.77048881055089,0.329061744977183,0.593171253214446
"9","GO:0000977",0.668842560710568,0.777551003308881,0.345683428612053,0.597358997543834
"10","GO:0000978",0.661289425874725,0.770761108444968,0.333884656330112,0.588645063549935
"11","GO:0000981",0.657153163629514,0.769004578817125,0.33357334685547,0.58657702976737
"12","GO:0000987",0.608838748670214,0.762359202514011,0.336412325288484,0.569203425490903
"13","GO:0000993",0.65334683998795,0.759757904102652,0.321033719888249,0.578046154659617
"14","GO:0001085",0.686070447416424,0.759468993953052,0.33579500373696,0.593778148368812
"15","GO:0001223",0.552067687876066,0.728150815596899,0.282661316100402,0.520959939857789
"16","GO:0001227",0.699861660804808,0.783711099328928,0.355856319866084,0.613143026666607
"17","GO:0001228",0.674949097925789,0.777631857812586,0.338605825241706,0.597062260326694
"18","GO:0001664",0.597991438740362,0.743148421659943,0.314495631380594,0.5518784972603
"19","GO:0001671",0.657100033148496,0.766427933236942,0.371901463547064,0.598476476644167
"20","GO:0001786",0.641711878739699,0.753057669482711,0.321565112249577,0.572111553490662
"21","GO:0003674",0.60742870988938,0.750381132306279,0.324781557291674,0.560863799829111
"22","GO:0003676",0.66261982207827,0.762048077885134,0.328370433958194,0.584346111307199
"23","GO:0003677",0.687413393569603,0.76814865067647,0.355146172542756,0.603569405596276
"24","GO:0003678",0.684643075657061,0.782175633420936,0.371459516274501,0.612759408450833
"25","GO:0003682",0.675775777788562,0.760958467334384,0.334255850802917,0.590330031975288
"26","GO:0003684",0.640417880678517,0.747237418105998,0.311300497363249,0.566318598715922
"27","GO:0003690",0.65061722265562,0.745748705817598,0.307223452751189,0.567863127074803
"28","GO:0003697",0.72441382946719,0.783588372847095,0.376547641538862,0.628183281284382
"29","GO:0003700",0.680602073706462,0.772744148071374,0.330061666291018,0.594469296022951
"30","GO:0003707",0.709516738622435,0.788846587655401,0.373657512156278,0.624006946144705
"31","GO:0003712",0.660857380263409,0.764568390124081,0.35204578912626,0.592490519837917
"32","GO:0003713",0.667638664489263,0.771673273413547,0.36762242218111,0.602311453361307
"33","GO:0003714",0.660505776137149,0.763308670364159,0.341694489917749,0.588502978806353
"34","GO:0003723",0.673361627537208,0.773793922125612,0.378225338530632,0.608460296064484
"35","GO:0003724",0.694245134267138,0.785101074124858,0.397175236823519,0.625507148405172
"36","GO:0003725",0.65700472106546,0.757955330907427,0.317140594085653,0.577366882019514
"37","GO:0003727",0.711137086541375,0.784329194892639,0.366271369478361,0.620579216970792
"38","GO:0003729",0.676247308809039,0.773558878727519,0.37620126889464,0.608669152143733
"39","GO:0003730",0.668668094023969,0.781062259182926,0.369052648378594,0.606261000528496
"40","GO:0003735",0.721555733597399,0.815727300733118,0.565027830615428,0.700770288315315
"41","GO:0003743",0.716669251152797,0.791996811989858,0.40111156531031,0.636592542817655
"42","GO:0003746",0.751053704844867,0.835485801225533,0.519948267107855,0.702162591059418
"43","GO:0003755",0.706107584940402,0.792245867297032,0.388845699708533,0.629066383981989
"44","GO:0003774",0.811716216966122,0.836834612106631,0.496275691973822,0.714942173682192
"45","GO:0003777",0.716070759949848,0.774832755778578,0.349015673404988,0.613306396377805
"46","GO:0003779",0.72813857310887,0.781175271431762,0.338331836089854,0.615881893543495
"47","GO:0003823",0.722685714143009,0.785840161119922,0.446122758400076,0.651549544554336
"48","GO:0003824",0.665241733595116,0.786193376287813,0.352318224025456,0.601251111302795
"49","GO:0003899",0.705428304588589,0.773915253969319,0.364743826474937,0.614695795010948
"50","GO:0003924",0.692937746592032,0.784841343535855,0.387260769031209,0.621679953053032
"51","GO:0003951",0.741206894985821,0.805705542445235,0.373645867684216,0.64018610170509
"52","GO:0003954",0.698251804280557,0.787109932675547,0.456337205656078,0.647232980870727
"53","GO:0004016",0.695946609521532,0.789570293261781,0.350927299019388,0.612148067267567
"54","GO:0004114",0.69776708409266,0.788363063620018,0.346198434468049,0.610776194060242
"55","GO:0004115",0.694414343078145,0.787231134074163,0.343709970803366,0.608451815985225
"56","GO:0004129",0.627147249211385,0.787833188693689,0.507203813212925,0.640728083705999
"57","GO:0004143",0.753557475293758,0.806540869304717,0.369641212521323,0.643246519039933
"58","GO:0004175",0.712439638858282,0.80331925870156,0.420268328104507,0.645342408554783
"59","GO:0004177",0.739118692118715,0.812369850666706,0.407905320242819,0.65313128767608
"60","GO:0004181",0.715098706725717,0.79767258546406,0.349669617817956,0.620813636669244
"61","GO:0004197",0.710466089916728,0.796090573642625,0.369639212152471,0.625398625237275
"62","GO:0004222",0.692321648110866,0.793474759398356,0.357054545471265,0.614283650993495
"63","GO:0004252",0.635795060501708,0.777816497851764,0.373590031576772,0.595733863310081
"64","GO:0004298",0.702486684573632,0.796349095891454,0.424446032831301,0.641093937765462
"65","GO:0004364",0.706497248176998,0.807380747631202,0.419754517821968,0.644544171210056
"66","GO:0004383",0.723439319391337,0.791028062929815,0.350020978996205,0.621496120439119
"67","GO:0004385",0.654357119867782,0.745491777918008,0.31791361490743,0.572587504231073
"68","GO:0004386",0.696396287760867,0.767314770372876,0.33055786499009,0.598089641041278
"69","GO:0004438",0.566990677929617,0.756917096374646,0.302388509315868,0.54209876120671
"70","GO:0004467",0.754930015984213,0.809624115635948,0.39603397411151,0.653529368577224
"71","GO:0004521",0.676250542585214,0.785270092985998,0.344072538644795,0.601864391405336
"72","GO:0004535",0.713549321440427,0.789079055445506,0.331583736995757,0.611404037960564
"73","GO:0004601",0.70999558768326,0.798472616053463,0.3978464249301,0.635438209555608
"74","GO:0004656",0.50486776535212,0.722910461108672,0.25681085175294,0.494863026071244
"75","GO:0004672",0.697502027386417,0.781836599118119,0.33888677245307,0.606075132985869
"76","GO:0004674",0.656220387402139,0.766731492345173,0.32257502690453,0.581842302217281
"77","GO:0004683",0.5133578308334,0.721596180051958,0.225446789364642,0.48680026675
"78","GO:0004693",0.727900573046802,0.783565519306181,0.34970895474827,0.620391682367084
