"","GO","wR2Nmean","CRI2mean","eAImean","sumScoremean"
"1","GO:0000122",0.688037067020177,0.778104427740451,0.363085138776822,0.60974221117915
"2","GO:0000187",0.665831235415508,0.777089746573666,0.365172989611621,0.602697990533599
"3","GO:0000209",0.610735998926412,0.75371483404323,0.307519608497907,0.557323480489183
"4","GO:0000226",0.696098279782799,0.785633602260283,0.362782984804883,0.614838288949321
"5","GO:0000278",0.696083349080314,0.786367496495356,0.354983571305429,0.612478138960366
"6","GO:0000398",0.625801830135883,0.738147678192945,0.290845188632796,0.551598232320541
"7","GO:0000902",0.645136248839789,0.779106275051098,0.341222456644742,0.58848832684521
"8","GO:0001501",0.725548942285689,0.800304535160263,0.372885549688977,0.632913009044976
"9","GO:0001503",0.708231782106233,0.790085370983546,0.369587637362294,0.622634930150691
"10","GO:0001525",0.661902834770024,0.779330072877122,0.35697858291146,0.599403830186202
"11","GO:0001580",0.514868426665243,0.739115710447741,0.2823215296537,0.512101888922228
"12","GO:0001666",0.679661457518487,0.786514122863863,0.358056493404323,0.608077357928891
"13","GO:0001701",0.724791075205501,0.79664086950803,0.378951909423492,0.633461284712341
"14","GO:0001764",0.663437848075212,0.780493653682882,0.363227311267607,0.602386271008567
"15","GO:0001822",0.69476492201971,0.793409435114818,0.366890366416763,0.61835490785043
"16","GO:0001934",0.675046883593836,0.782251163697499,0.372481324372113,0.609926457221149
"17","GO:0001938",0.66685026954562,0.778027106498686,0.356382015499126,0.600419797181144
"18","GO:0002227",0.537829481619377,0.734195171556163,0.311781750935891,0.527935468037144
"19","GO:0002244",0.600738696173437,0.74669963691925,0.29867380625189,0.548704046448192
"20","GO:0002250",0.646950903634515,0.766982979866108,0.356216301839175,0.590050061779933
"21","GO:0002376",0.651022379878496,0.767350464629114,0.336821767072627,0.585064870526746
"22","GO:0005975",0.693050820426847,0.790142554564813,0.349962262513032,0.611051879168231
"23","GO:0006082",0.634856698200292,0.76751235212463,0.30823546401754,0.570201504780821
"24","GO:0006281",0.596835808937724,0.738658890592278,0.298011866377096,0.5445021886357
"25","GO:0006325",0.651758731011505,0.754163230272475,0.329995386283745,0.578639115855908
"26","GO:0006334",0.665780500794111,0.763144542695586,0.483862077752289,0.637595707080662
"27","GO:0006342",0.653927754170127,0.755381850043978,0.433025699090334,0.614111767768146
"28","GO:0006355",0.702095677323598,0.784694158013049,0.360043990515455,0.615611275284034
"29","GO:0006357",0.649293617796415,0.765311441129232,0.329026064469642,0.581210374465097
"30","GO:0006364",0.626761038178827,0.745834714180421,0.317584585694777,0.563393446018008
"31","GO:0006366",0.647577533218041,0.751784191127032,0.334598417601852,0.577986713982308
"32","GO:0006397",0.631850880891137,0.74154028599894,0.297971392016386,0.557120852968821
"33","GO:0006412",0.638439699506556,0.746723264780086,0.33608215059385,0.573748371626831
"34","GO:0006417",0.641802397077841,0.756475557472484,0.307734618253592,0.568670857601305
"35","GO:0006468",0.676579821955385,0.774219661140226,0.344721148343802,0.598506877146471
"36","GO:0006470",0.661753037354806,0.776803866924876,0.333505391662294,0.590687431980659
"37","GO:0006486",0.66990085806654,0.789413169615948,0.355197519341758,0.604837182341415
"38","GO:0006508",0.628028740588274,0.769685335676922,0.322213777050494,0.573309284438563
"39","GO:0006511",0.625484864181599,0.759568540212353,0.317575346858434,0.567542917084129
"40","GO:0006629",0.686413627861845,0.787353835184158,0.359515278175736,0.611094247073913
"41","GO:0006631",0.68379718918007,0.788029235267116,0.358183142217682,0.610003188888289
"42","GO:0006805",0.642054137863869,0.770590189543338,0.317168291835898,0.576604206414368
"43","GO:0006811",0.712428171156889,0.799515194266922,0.385428645956347,0.632457337126719
"44","GO:0006813",0.740638946661435,0.814172701389309,0.402727644345987,0.652513097465577
"45","GO:0006814",0.708326296764579,0.798783904997164,0.378243301668223,0.628451167809989
"46","GO:0006816",0.72691847982682,0.80870145886976,0.395401067438257,0.643673668711612
"47","GO:0006821",0.687986380841142,0.793389901406672,0.366610612463946,0.615995631570587
"48","GO:0006869",0.731146465061195,0.79595775637398,0.378949957027644,0.63535139282094
"49","GO:0006874",0.695681540724497,0.793118978030741,0.373384737818659,0.620728418857966
"50","GO:0006886",0.642289879727994,0.760052130993624,0.336480657207616,0.579607555976412
"51","GO:0006897",0.654038310222665,0.768639057241686,0.333948304978714,0.585541890814355
"52","GO:0006914",0.662855459264178,0.772540163881298,0.327971786162185,0.587789136435887
"53","GO:0006915",0.67121540974687,0.770563369250699,0.351216871506529,0.597665216834699
"54","GO:0006935",0.649891070146383,0.775022065308169,0.358923673871767,0.594612269775439
"55","GO:0006952",0.590189096643422,0.748329952471142,0.31395301533078,0.550824021481781
"56","GO:0006954",0.666854986867712,0.774544250826449,0.355884536449434,0.599094591381198
"57","GO:0006955",0.631218272119634,0.765398324052086,0.340257874668278,0.578958156946666
"58","GO:0006959",0.659576386800535,0.777018441543304,0.39574299877865,0.610779275707496
"59","GO:0006974",0.623805681981885,0.74904803598632,0.307732481075628,0.560195399681278
"60","GO:0007015",0.666120645253698,0.76816280049319,0.342620654939857,0.592301366895582
"61","GO:0007049",0.631060133579011,0.756022407679462,0.328589774967729,0.5718907720754
"62","GO:0007155",0.649127389196106,0.770905567517464,0.333057750660067,0.584363569124546
"63","GO:0007156",0.625690482096138,0.758073185636897,0.311877662337447,0.565213776690161
"64","GO:0007165",0.676865054988411,0.793336831388583,0.366473731902903,0.612225206093299
"65","GO:0007166",0.668784208954333,0.781085573326555,0.358665927753352,0.60284523667808
"66","GO:0007169",0.716408334340454,0.791815950846674,0.367879852086762,0.625368045757964
"67","GO:0007186",0.643137773793538,0.789786665283935,0.34499468873932,0.592639709272265
"68","GO:0007187",0.654129266799156,0.793594326212071,0.361062835299183,0.602928809436803
"69","GO:0007189",0.701357137759779,0.805137212122728,0.403882944824015,0.636792431568841
"70","GO:0007200",0.68049264115744,0.798747239942666,0.376312935769445,0.618517605623184
"71","GO:0007204",0.694223119753582,0.793517732110297,0.391367381668319,0.626369411177399
"72","GO:0007218",0.676655869341789,0.787304282515753,0.39223947234842,0.618733208068654
"73","GO:0007219",0.723813775127894,0.796919061686136,0.379103004588466,0.633278613800832
"74","GO:0007267",0.714699502280989,0.799488233883137,0.391223598773811,0.635137111645979
"75","GO:0007268",0.686920551075338,0.797317036971169,0.368743395584177,0.617660327876895
"76","GO:0007275",0.685683639272139,0.781090840538569,0.35920103734239,0.608658505717699
"77","GO:0007283",0.649439000209628,0.758493515883277,0.326227388460087,0.578053301517664
"78","GO:0007286",0.511472451747163,0.706699232939622,0.258872765592862,0.492348150093216
"79","GO:0007338",0.576633228762912,0.733698770878658,0.294111918920242,0.534814639520604
"80","GO:0007399",0.688339410392146,0.783754406550803,0.367417097293761,0.61317030474557
"81","GO:0007411",0.706324866926219,0.793958724260545,0.374917897483063,0.625067162889942
"82","GO:0007417",0.692877246495627,0.786363688160695,0.36164926033559,0.613630064997304
"83","GO:0007420",0.693170021807614,0.783499420320943,0.365950312625973,0.614206584918177
"84","GO:0007507",0.682633251282423,0.784114612738691,0.360278742754243,0.609008868925119
